review_count,month
3,"(2009, 9)"
1,"(2009, 12)"
1,"(2010, 1)"
1,"(2010, 4)"
1,"(2010, 5)"
5,"(2010, 6)"
5,"(2010, 7)"
13,"(2010, 8)"
4,"(2010, 9)"
3,"(2010, 10)"
3,"(2010, 11)"
5,"(2010, 12)"
5,"(2011, 1)"
3,"(2011, 2)"
5,"(2011, 3)"
14,"(2011, 4)"
19,"(2011, 5)"
29,"(2011, 6)"
33,"(2011, 7)"
66,"(2011, 8)"
46,"(2011, 9)"
23,"(2011, 10)"
48,"(2011, 11)"
30,"(2011, 12)"
35,"(2012, 1)"
29,"(2012, 2)"
35,"(2012, 3)"
70,"(2012, 4)"
132,"(2012, 5)"
146,"(2012, 6)"
189,"(2012, 7)"
257,"(2012, 8)"
180,"(2012, 9)"
164,"(2012, 10)"
154,"(2012, 11)"
108,"(2012, 12)"
127,"(2013, 1)"
88,"(2013, 2)"
138,"(2013, 3)"
258,"(2013, 4)"
521,"(2013, 5)"
474,"(2013, 6)"
595,"(2013, 7)"
870,"(2013, 8)"
525,"(2013, 9)"
428,"(2013, 10)"
366,"(2013, 11)"
412,"(2013, 12)"
331,"(2014, 1)"
284,"(2014, 2)"
416,"(2014, 3)"
704,"(2014, 4)"
1217,"(2014, 5)"
1358,"(2014, 6)"
1435,"(2014, 7)"
2149,"(2014, 8)"
1348,"(2014, 9)"
1080,"(2014, 10)"
903,"(2014, 11)"
957,"(2014, 12)"
846,"(2015, 1)"
759,"(2015, 2)"
1077,"(2015, 3)"
2035,"(2015, 4)"
3175,"(2015, 5)"
3210,"(2015, 6)"
4219,"(2015, 7)"
5604,"(2015, 8)"
3613,"(2015, 9)"
2910,"(2015, 10)"
2509,"(2015, 11)"
2749,"(2015, 12)"
2390,"(2016, 1)"
2674,"(2016, 2)"
3240,"(2016, 3)"
3720,"(2016, 4)"
7071,"(2016, 5)"
6526,"(2016, 6)"
9324,"(2016, 7)"
10187,"(2016, 8)"
7146,"(2016, 9)"
6117,"(2016, 10)"
4199,"(2016, 11)"
4069,"(2016, 12)"
3947,"(2017, 1)"
3935,"(2017, 2)"
4461,"(2017, 3)"
6898,"(2017, 4)"
9832,"(2017, 5)"
10315,"(2017, 6)"
11442,"(2017, 7)"
14417,"(2017, 8)"
9678,"(2017, 9)"
6859,"(2017, 10)"
4963,"(2017, 11)"
5374,"(2017, 12)"
4610,"(2018, 1)"
4304,"(2018, 2)"
6062,"(2018, 3)"
8505,"(2018, 4)"
13984,"(2018, 5)"
13134,"(2018, 6)"
14111,"(2018, 7)"
17636,"(2018, 8)"
12726,"(2018, 9)"
8885,"(2018, 10)"
7567,"(2018, 11)"
8029,"(2018, 12)"
6511,"(2019, 1)"
2582,"(2019, 2)"
